distnum,distname,bloc_share,cpc_share,gpc_share,lpc_share,ndp_share,ind_share,bloc_margin,cpc_margin,gpc_margin,lpc_margin,ndp_margin,ind_margin,winner,winnershare,province
24013,Thérèse-De Blainville,27.1,12.4,2.4,32.5,24.9,0.6,-5.399999999999999,-20.1,-30.1,0.0,-7.600000000000001,-31.9,LPC,32.5,Quebec
24076,Trois-Rivières,17.0,18.6,1.7,30.2,31.8,0.6,-14.8,-13.2,-30.1,-1.6000000000000014,0.0,-31.2,NDP,31.8,Quebec
24074,Vaudreuil--Soulanges,15.0,13.8,2.2,46.6,22.3,0.0,-31.6,-32.8,-44.4,0.0,-24.3,-46.6,LPC,46.6,Quebec
24077,Ville-Marie--Le Sud-Ouest--Île-des-Soeurs,8.6,11.9,4.8,50.8,23.4,0.3,-42.199999999999996,-38.9,-46.0,0.0,-27.4,-50.5,LPC,50.8,Quebec
24078,Vimy,16.7,13.4,2.4,46.2,21.0,0.5,-29.500000000000004,-32.800000000000004,-43.800000000000004,0.0,-25.200000000000003,-45.7,LPC,46.2,Quebec
35001,Ajax,0.0,34.4,1.4,55.9,8.2,0.1,-55.9,-21.5,-54.5,0.0,-47.7,-55.8,LPC,55.9,Ontario
35002,Algoma--Manitoulin--Kapuskasing,0.0,23.7,2.2,34.1,39.9,0.0,-39.9,-16.2,-37.699999999999996,-5.799999999999997,0.0,-39.9,NDP,39.9,Ontario
35003,Aurora--Oak Ridges--Richmond Hill,0.0,45.2,1.3,47.3,5.7,0.5,-47.3,-2.0999999999999943,-46.0,0.0,-41.599999999999994,-46.8,LPC,47.3,Ontario
35004,Barrie--Innisfil,0.0,46.4,4.0,37.1,11.8,0.4,-46.4,0.0,-42.4,-9.299999999999997,-34.599999999999994,-46.0,CPC,46.4,Ontario
35005,Barrie--Springwater--Oro-Medonte,0.0,41.7,5.2,41.6,10.3,0.8,-41.7,0.0,-36.5,-0.10000000000000142,-31.400000000000002,-40.900000000000006,CPC,41.7,Ontario
35006,Bay of Quinte/Baie de Quinte,0.0,34.3,2.2,50.7,12.1,0.6,-50.7,-16.400000000000006,-48.5,0.0,-38.6,-50.1,LPC,50.7,Ontario
35007,Beaches--East York,0.0,16.4,2.6,49.4,30.8,0.5,-49.4,-33.0,-46.8,0.0,-18.599999999999998,-48.9,LPC,49.4,Ontario
35008,Brampton Centre/Brampton-Centre,0.0,33.7,2.1,48.6,15.1,0.4,-48.6,-14.899999999999999,-46.5,0.0,-33.5,-48.2,LPC,48.6,Ontario
35009,Brampton East/Brampton-Est,0.0,23.5,1.1,52.3,23.0,0.0,-52.3,-28.799999999999997,-51.199999999999996,0.0,-29.299999999999997,-52.3,LPC,52.3,Ontario
35010,Brampton North/Brampton-Nord,0.0,33.0,1.9,48.4,16.5,0.2,-48.4,-15.399999999999999,-46.5,0.0,-31.9,-48.199999999999996,LPC,48.4,Ontario
35011,Brampton South/Brampton-Sud,0.0,35.0,2.2,52.1,10.7,0.0,-52.1,-17.1,-49.9,0.0,-41.400000000000006,-52.1,LPC,52.1,Ontario
